epoch,	loss,	acc,	val_loss,	val_acc
153,	0.063754,	0.977000,	0.195078,	0.950000
154,	0.068797,	0.976500,	0.273006,	0.940000
155,	0.075841,	0.972500,	0.298810,	0.945000
156,	0.086660,	0.971000,	0.197525,	0.960000
157,	0.105756,	0.958500,	0.179968,	0.940000
158,	0.067917,	0.972500,	0.224265,	0.940000
159,	0.097865,	0.965000,	0.198352,	0.940000
160,	0.076194,	0.971500,	0.224473,	0.945000
161,	0.077468,	0.972000,	0.207710,	0.940000
162,	0.057624,	0.978000,	0.264755,	0.935000
163,	0.057274,	0.981000,	0.188117,	0.940000
164,	0.056344,	0.976500,	0.190761,	0.940000
165,	0.065910,	0.978000,	0.228377,	0.935000
